"Country or Area","Year(s)","Variant","Value"
"China","2100","Medium","766673.27"
"China","2100","High","1152753.268"
"China","2100","Low","487928.145"
"China","2100","Constant fertility","629820.211"
"China","2100","Instant replacement","1424089.698"
"China","2100","Zero migration","797916.727"
"China","2100","Constant mortality","621724.223"
"China","2100","No change","489865.739"
"China","2100","Momentum","1283074.613"
"China","2100","Instant replacement zero migration","1464166.228"
"China","2100","Median PI","766673.27"
"China","2100","Upper 80 PI","932251.116"
"China","2100","Lower 80 PI","595484.442"
"China","2100","Upper 95 PI","1025782.79"
"China","2100","Lower 95 PI","511307.673"
"China","2099","Medium","775944.429"
"China","2099","High","1155354.928"
"China","2099","Low","500387.349"
"China","2099","Constant fertility","641245.686"
"China","2099","Instant replacement","1423101.027"
"China","2099","Zero migration","806834.537"
"China","2099","Constant mortality","631159.769"
"China","2099","No change","501146.756"
"China","2099","Momentum","1283960.764"
"China","2099","Instant replacement zero migration","1462582.983"
"China","2099","Median PI","775944.429"
"China","2099","Upper 80 PI","938799.061"
"China","2099","Lower 80 PI","606498.858"
"China","2099","Upper 95 PI","1032421.932"
"China","2099","Lower 95 PI","521707.869"
"China","2098","Medium","785270.314"
"China","2098","High","1158038.425"
"China","2098","Low","512928.78"
"China","2098","Constant fertility","652710.752"
"China","2098","Instant replacement","1422103.563"
"China","2098","Zero migration","815804.694"
"China","2098","Constant mortality","640785.706"
"China","2098","No change","512624.159"
"China","2098","Momentum","1284839.759"
"China","2098","Instant replacement zero migration","1460992.862"
"China","2098","Median PI","785270.315"
"China","2098","Upper 80 PI","946658.378"
"China","2098","Lower 80 PI","617909.367"
"China","2098","Upper 95 PI","1037922.622"
"China","2098","Lower 95 PI","533756.65"
"China","2097","Medium","794673.479"
"China","2097","High","1160843.594"
"China","2097","Low","525559.776"
"China","2097","Constant fertility","664222.06"
"China","2097","Instant replacement","1421109.076"
"China","2097","Zero migration","824850.588"
"China","2097","Constant mortality","650599.819"
"China","2097","No change","524278.917"
"China","2097","Momentum","1285703.518"
"China","2097","Instant replacement zero migration","1459407.616"
"China","2097","Median PI","794673.479"
"China","2097","Upper 80 PI","953983.003"
"China","2097","Lower 80 PI","629071.017"
"China","2097","Upper 95 PI","1042411.911"
"China","2097","Lower 95 PI","545410.475"
"China","2096","Medium","804153.594"
"China","2096","High","1163766.367"
"China","2096","Low","538280"
"China","2096","Constant fertility","675787.848"
"China","2096","Instant replacement","1420129.612"
"China","2096","Zero migration","833971.265"
"China","2096","Constant mortality","660578.172"
"China","2096","No change","536094.14"
"China","2096","Momentum","1286545.325"
"China","2096","Instant replacement zero migration","1457839.129"
"China","2096","Median PI","804153.594"
"China","2096","Upper 80 PI","961488.854"
"China","2096","Lower 80 PI","639944.253"
"China","2096","Upper 95 PI","1049024.962"
"China","2096","Lower 95 PI","557658.114"
"China","2095","Medium","813718.728"
"China","2095","High","1166814.815"
"China","2095","Low","551095.074"
"China","2095","Constant fertility","687419.978"
"China","2095","Instant replacement","1419180.938"
"China","2095","Zero migration","843174.542"
"China","2095","Constant mortality","670704.329"
"China","2095","No change","548055.841"
"China","2095","Momentum","1287361.6"
"China","2095","Instant replacement zero migration","1456303.012"
"China","2095","Median PI","813718.728"
"China","2095","Upper 80 PI","968566.349"
"China","2095","Lower 80 PI","650687.01"
"China","2095","Upper 95 PI","1055869.487"
"China","2095","Lower 95 PI","569314.663"
"China","2094","Medium","823380.978"
"China","2094","High","1170000.669"
"China","2094","Low","564015.345"
"China","2094","Constant fertility","699134.821"
"China","2094","Instant replacement","1418286.251"
"China","2094","Zero migration","852472.357"
"China","2094","Constant mortality","680964.451"
"China","2094","No change","560153.196"
"China","2094","Momentum","1288155.487"
"China","2094","Instant replacement zero migration","1454822.383"
"China","2094","Median PI","823380.978"
"China","2094","Upper 80 PI","975291.986"
"China","2094","Lower 80 PI","661681.789"
"China","2094","Upper 95 PI","1062374.213"
"China","2094","Lower 95 PI","580147.67"
"China","2093","Medium","833162.188"
"China","2093","High","1173343.556"
"China","2093","Low","577062.949"
"China","2093","Constant fertility","710960.559"
